"PLJV_Species_List","Common_Name","Prevalence","Average_Count","Coefficient_of_Variation","Effort","Active_Transects"
"SGCN/SWAP (Landbirds) [Tier 2]","Juniper Titmouse",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Kentucky Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Lazuli Bunting",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Louisiana Waterthrush",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Merlin",0.019,1,NA,0.75,1
"SGCN/SWAP (Landbirds) [Tier 2]","Olive-sided Flycatcher",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Pileated Woodpecker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Pine Siskin",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Pinyon Jay",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Plumbeous Vireo",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Prothonotary Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Purple Martin",0.019,1,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 2]","Pygmy Nuthatch",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Red-tailed Hawk",0.019,3,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 2]","Ruby-throated Hummingbird",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Savannah Sparrow",0.077,1,0,0.688,4
"SGCN/SWAP (Landbirds) [Tier 2]","Sedge Wren",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Sharp-shinned Hawk",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Spotted Towhee",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Townsend's Solitaire",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Tufted Titmouse",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Violet-green Swallow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Virginia's Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","White-eyed Vireo",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","White-throated Swift",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Yellow-throated Vireo",0,0,0,NA,0
"SGCN/SWAP (Waterbirds) [Tier 1]","Upland Sandpiper",0.173,2,0.829,0.764,9
"ESA/PIF (Landbirds) [Declining Species]","Baltimore Oriole",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Bell's Vireo",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Black-capped Vireo",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Bewick's Wren",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Brown-headed Cowbird",0.577,6,1.645,0.835,30
"ESA/PIF (Landbirds) [Declining Species]","Bullock's Oriole",0.135,2,0.707,0.964,7
"ESA/PIF (Landbirds) [Declining Species]","Chichuahuan Raven",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Cassin's Sparrow",0.462,19,0.827,0.841,24
"ESA/PIF (Landbirds) [Declining Species]","Common Grackle",0.346,4,1.523,0.934,18
"ESA/PIF (Landbirds) [Declining Species]","Common Nighthawk",0.192,2,0.777,0.819,10
"ESA/PIF (Landbirds) [Declining Species]","Eastern Kingbird",0.019,2,NA,0.875,1
"ESA/PIF (Landbirds) [Declining Species]","Eastern Meadowlark",0.288,9,0.772,0.917,15
"ESA/PIF (Landbirds) [Declining Species]","Ferruginous Hawk",0.019,1,NA,1,1
"ESA/PIF (Landbirds) [Declining Species]","Grasshopper Sparrow",0.654,9,0.844,0.857,34
"ESA/PIF (Landbirds) [Declining Species]","Horned Lark",0.865,26,0.804,0.854,45
"ESA/PIF (Landbirds) [Declining Species]","Lark Bunting",0.462,22,2.766,0.846,24
"ESA/PIF (Landbirds) [Declining Species]","Lark Sparrow",0.615,3,0.891,0.865,32
"ESA/PIF (Landbirds) [Declining Species]","Lesser Prairie-Chicken",0.038,20,1.052,0.938,2
"ESA/PIF (Landbirds) [Declining Species]","Loggerhead Shrike",0.096,1,0,0.862,5
"ESA/PIF (Landbirds) [Declining Species]","Mississippi Kite",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Mourning Dove",0.885,9,0.816,0.848,46
"ESA/PIF (Landbirds) [Declining Species]","Northern Mockingbird",0.269,7,1.095,0.875,14
"ESA/PIF (Landbirds) [Declining Species]","Ring-necked Pheasant",0.5,7,0.819,0.841,26
"ESA/PIF (Landbirds) [Declining Species]","Scaled Quail",0.212,9,1.006,0.892,11
"ESA/PIF (Landbirds) [Declining Species]","Scissor-tailed Flycatcher",0.231,3,0.841,0.875,12
"ESA/PIF (Landbirds) [Declining Species]","Swainson's Hawk",0.288,1,0.436,0.867,15
"ESA/PIF (Landbirds) [Declining Species]","Western Kingbird",0.423,5,0.903,0.844,22
"ESA/PIF (Landbirds) [Declining Species]","Western Meadowlark",0.865,27,0.828,0.867,45
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Killdeer",0.538,4,0.882,0.873,28
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Least Tern",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Long-billed Curlew",0.135,6,0.773,0.911,7
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Mountain Plover",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Piping Plover",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Snowy Plover",0.019,5,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 1]","McCown's Longspur",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Bald Eagle",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Barn Owl",0.019,1,NA,0.75,1
"SGCN/SWAP (Landbirds) [Tier 1]","Brewer's Sparrow",0.077,4,1.126,0.734,4
"SGCN/SWAP (Landbirds) [Tier 1]","Chuck-will's-widow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Dickcissel",0.288,12,1.258,0.892,15
"SGCN/SWAP (Landbirds) [Tier 1]","Golden Eagle",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Harris's Hawk",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Henslow's Sparrow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Northern Harrier",0.038,1,0,0.688,2
"SGCN/SWAP (Landbirds) [Tier 1]","Peregrine Falcon",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Short-eared Owl",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Sharp-tailed Grouse",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Carolina Chickadee",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Great-tailed Grackle",0.346,11,1.805,0.785,18
"SGCN/SWAP (Landbirds) [Tier 1]","Red-naped Sapsucker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Rufous-crowned Sparrow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Summer Tanager",0,0,0,NA,0
