"PLJV_Species_List","Common_Name","Prevalence","Average_Count","Coefficient_of_Variation","Effort","Active_Transects"
"SGCN/SWAP (Landbirds) [Tier 2]","Prothonotary Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Purple Martin",0.026,1,0,0.5,2
"SGCN/SWAP (Landbirds) [Tier 2]","Pygmy Nuthatch",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Red-tailed Hawk",0.091,2,0.722,0.875,7
"SGCN/SWAP (Landbirds) [Tier 2]","Ruby-throated Hummingbird",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Savannah Sparrow",0.026,2,0.707,1,2
"SGCN/SWAP (Landbirds) [Tier 2]","Sedge Wren",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Sharp-shinned Hawk",0.013,1,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 2]","Spotted Towhee",0.039,1,0.433,0.854,3
"SGCN/SWAP (Landbirds) [Tier 2]","Townsend's Solitaire",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Tufted Titmouse",0.026,2,0.707,0.875,2
"SGCN/SWAP (Landbirds) [Tier 2]","Violet-green Swallow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Virginia's Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","White-eyed Vireo",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","White-throated Swift",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Yellow-throated Vireo",0,0,0,NA,0
"SGCN/SWAP (Waterbirds) [Tier 1]","Upland Sandpiper",0.13,2,0.925,0.712,10
"ESA/PIF (Landbirds) [Declining Species]","Baltimore Oriole",0.026,5,1.131,0.938,2
"ESA/PIF (Landbirds) [Declining Species]","Bell's Vireo",0.026,1,0,0.656,2
"ESA/PIF (Landbirds) [Declining Species]","Black-capped Vireo",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Bewick's Wren",0.091,9,1.251,0.795,7
"ESA/PIF (Landbirds) [Declining Species]","Brown-headed Cowbird",0.61,6,1,0.882,47
"ESA/PIF (Landbirds) [Declining Species]","Bullock's Oriole",0.104,2,1.088,0.836,8
"ESA/PIF (Landbirds) [Declining Species]","Chichuahuan Raven",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Cassin's Sparrow",0.519,15,0.986,0.852,40
"ESA/PIF (Landbirds) [Declining Species]","Common Grackle",0.312,4,0.896,0.888,24
"ESA/PIF (Landbirds) [Declining Species]","Common Nighthawk",0.26,4,1.431,0.888,20
"ESA/PIF (Landbirds) [Declining Species]","Eastern Kingbird",0.104,3,0.873,0.906,8
"ESA/PIF (Landbirds) [Declining Species]","Eastern Meadowlark",0.351,10,0.885,0.833,27
"ESA/PIF (Landbirds) [Declining Species]","Ferruginous Hawk",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Grasshopper Sparrow",0.636,11,0.859,0.858,49
"ESA/PIF (Landbirds) [Declining Species]","Horned Lark",0.701,19,0.952,0.875,54
"ESA/PIF (Landbirds) [Declining Species]","Lark Bunting",0.455,16,1.259,0.9,35
"ESA/PIF (Landbirds) [Declining Species]","Lark Sparrow",0.429,4,1.223,0.881,33
"ESA/PIF (Landbirds) [Declining Species]","Lesser Prairie-Chicken",0.026,13,1.305,0.719,2
"ESA/PIF (Landbirds) [Declining Species]","Loggerhead Shrike",0.091,2,0.873,0.911,7
"ESA/PIF (Landbirds) [Declining Species]","Mississippi Kite",0.039,3,0.624,0.938,3
"ESA/PIF (Landbirds) [Declining Species]","Mourning Dove",0.948,11,0.813,0.853,73
"ESA/PIF (Landbirds) [Declining Species]","Northern Mockingbird",0.442,8,1.013,0.84,34
"ESA/PIF (Landbirds) [Declining Species]","Ring-necked Pheasant",0.429,12,0.77,0.864,33
"ESA/PIF (Landbirds) [Declining Species]","Scaled Quail",0.273,9,0.874,0.836,21
"ESA/PIF (Landbirds) [Declining Species]","Scissor-tailed Flycatcher",0.234,3,0.922,0.781,18
"ESA/PIF (Landbirds) [Declining Species]","Swainson's Hawk",0.169,3,1.181,0.933,13
"ESA/PIF (Landbirds) [Declining Species]","Western Kingbird",0.623,5,1.043,0.857,48
"ESA/PIF (Landbirds) [Declining Species]","Western Meadowlark",0.74,27,0.802,0.868,57
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Killdeer",0.545,4,0.768,0.868,42
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Least Tern",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Long-billed Curlew",0.039,3,1.083,0.958,3
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Mountain Plover",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Piping Plover",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Snowy Plover",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","McCown's Longspur",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Bald Eagle",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Barn Owl",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Brewer's Sparrow",0.039,3,0.333,0.833,3
"SGCN/SWAP (Landbirds) [Tier 1]","Chuck-will's-widow",0.013,1,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 1]","Dickcissel",0.442,10,1.221,0.877,34
"SGCN/SWAP (Landbirds) [Tier 1]","Golden Eagle",0.013,1,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 1]","Harris's Hawk",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Henslow's Sparrow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Northern Harrier",0.039,1,0.433,0.667,3
"SGCN/SWAP (Landbirds) [Tier 1]","Peregrine Falcon",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Short-eared Owl",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Sharp-tailed Grouse",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Carolina Chickadee",0.013,1,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 1]","Great-tailed Grackle",0.195,7,1.517,0.892,15
"SGCN/SWAP (Landbirds) [Tier 1]","Red-naped Sapsucker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Rufous-crowned Sparrow",0.026,2,0,0.906,2
"SGCN/SWAP (Landbirds) [Tier 1]","Summer Tanager",0.026,5,0.849,1,2
