"PLJV_Species_List","Common_Name","Prevalence","Average_Count","Coefficient_of_Variation","Effort","Active_Transects"
"SGCN/SWAP (Landbirds) [Tier 2]","Pygmy Nuthatch",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Red-tailed Hawk",0.343,2,0.841,0.946,23
"SGCN/SWAP (Landbirds) [Tier 2]","Ruby-throated Hummingbird",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Savannah Sparrow",0.06,6,1.538,0.891,4
"SGCN/SWAP (Landbirds) [Tier 2]","Sedge Wren",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Sharp-shinned Hawk",0.015,1,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 2]","Spotted Towhee",0.149,3,0.836,0.969,10
"SGCN/SWAP (Landbirds) [Tier 2]","Townsend's Solitaire",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Tufted Titmouse",0.03,2,0.707,0.875,2
"SGCN/SWAP (Landbirds) [Tier 2]","Violet-green Swallow",0.104,5,1.166,0.946,7
"SGCN/SWAP (Landbirds) [Tier 2]","Virginia's Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","White-eyed Vireo",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","White-throated Swift",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Yellow-throated Vireo",0,0,0,NA,0
"SGCN/SWAP (Waterbirds) [Tier 1]","Upland Sandpiper",0.104,2,1.004,0.911,7
"ESA/PIF (Landbirds) [Declining Species]","Baltimore Oriole",0.045,4,0.933,0.792,3
"ESA/PIF (Landbirds) [Declining Species]","Bell's Vireo",0.075,5,0.917,0.925,5
"ESA/PIF (Landbirds) [Declining Species]","Black-capped Vireo",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Bewick's Wren",0.313,3,0.806,0.86,21
"ESA/PIF (Landbirds) [Declining Species]","Brown-headed Cowbird",0.851,7,0.954,0.879,57
"ESA/PIF (Landbirds) [Declining Species]","Bullock's Oriole",0.403,4,1.085,0.938,27
"ESA/PIF (Landbirds) [Declining Species]","Chichuahuan Raven",0,0,0,NA,0
"ESA/PIF (Landbirds) [Declining Species]","Cassin's Sparrow",0.507,18,1.086,0.866,34
"ESA/PIF (Landbirds) [Declining Species]","Common Grackle",0.448,10,1.177,0.948,30
"ESA/PIF (Landbirds) [Declining Species]","Common Nighthawk",0.149,2,0.567,0.875,10
"ESA/PIF (Landbirds) [Declining Species]","Eastern Kingbird",0.209,4,0.81,0.879,14
"ESA/PIF (Landbirds) [Declining Species]","Eastern Meadowlark",0.209,8,0.748,0.777,14
"ESA/PIF (Landbirds) [Declining Species]","Ferruginous Hawk",0.015,1,NA,1,1
"ESA/PIF (Landbirds) [Declining Species]","Grasshopper Sparrow",0.388,8,1.014,0.87,26
"ESA/PIF (Landbirds) [Declining Species]","Horned Lark",0.299,10,1.041,0.925,20
"ESA/PIF (Landbirds) [Declining Species]","Lark Bunting",0.254,37,2.748,0.945,17
"ESA/PIF (Landbirds) [Declining Species]","Lark Sparrow",0.716,6,1.292,0.883,48
"ESA/PIF (Landbirds) [Declining Species]","Lesser Prairie-Chicken",0.03,2,0.707,0.625,2
"ESA/PIF (Landbirds) [Declining Species]","Loggerhead Shrike",0.075,3,1.173,0.838,5
"ESA/PIF (Landbirds) [Declining Species]","Mississippi Kite",0.179,2,0.615,0.891,12
"ESA/PIF (Landbirds) [Declining Species]","Mourning Dove",0.94,10,0.688,0.889,63
"ESA/PIF (Landbirds) [Declining Species]","Northern Mockingbird",0.567,6,1.332,0.862,38
"ESA/PIF (Landbirds) [Declining Species]","Ring-necked Pheasant",0.313,6,0.828,0.872,21
"ESA/PIF (Landbirds) [Declining Species]","Scaled Quail",0.149,3,0.881,0.806,10
"ESA/PIF (Landbirds) [Declining Species]","Scissor-tailed Flycatcher",0.194,2,0.716,0.827,13
"ESA/PIF (Landbirds) [Declining Species]","Swainson's Hawk",0.209,2,1.053,0.893,14
"ESA/PIF (Landbirds) [Declining Species]","Western Kingbird",0.478,8,1.36,0.922,32
"ESA/PIF (Landbirds) [Declining Species]","Western Meadowlark",0.627,20,0.782,0.906,42
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Killdeer",0.642,3,0.803,0.895,43
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Least Tern",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Long-billed Curlew",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Mountain Plover",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Piping Plover",0,0,0,NA,0
"ESA/PIF (Waterbirds/Shorebirds) [Declining Species]","Snowy Plover",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","McCown's Longspur",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Bald Eagle",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Barn Owl",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Brewer's Sparrow",0.09,2,0.49,0.885,6
"SGCN/SWAP (Landbirds) [Tier 1]","Chuck-will's-widow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Dickcissel",0.224,7,1.814,0.879,15
"SGCN/SWAP (Landbirds) [Tier 1]","Golden Eagle",0.015,1,NA,0.875,1
"SGCN/SWAP (Landbirds) [Tier 1]","Harris's Hawk",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Henslow's Sparrow",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Northern Harrier",0.015,1,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 1]","Peregrine Falcon",0.03,1,0,0.969,2
"SGCN/SWAP (Landbirds) [Tier 1]","Short-eared Owl",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Sharp-tailed Grouse",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Carolina Chickadee",0.045,1,0,0.729,3
"SGCN/SWAP (Landbirds) [Tier 1]","Great-tailed Grackle",0.119,4,0.786,0.844,8
"SGCN/SWAP (Landbirds) [Tier 1]","Red-naped Sapsucker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 1]","Rufous-crowned Sparrow",0.149,3,0.969,0.888,10
"SGCN/SWAP (Landbirds) [Tier 1]","Summer Tanager",0.015,1,NA,1,1
